cle_interop,uid_adresse,numero,suffixe,pseudo_numero,voie_code,code_postal,libelle_acheminement,destination_principale,commune_code,commune_nom,source,long,lat,x,y,position,date_der_maj,Type de voie,Nom de voie,Valeur fonciere,Surface reelle bati,Date mutation,vf_square_meter_price
75101_4718_00009,,9,,False,4718,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3475772,48.8604079,652133.34,6862461.46,entr��e,2018-10-30,rue,innocents,"130000,00",14.0,03/07/2017,9285.714285714286
75101_3621_00029,,29,,False,3621,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3468595000000003,48.860226899999994,652080.52,6862441.77,entr��e,2018-10-30,rue,ferronnerie,"722000,00",62.0,03/05/2017,11645.161290322581
75101_4461_00012,,12,,False,4461,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3468668,48.8598253,652080.69,6862397.11,entr��e,2018-10-30,rue,halles,"400000,00",44.0,13/04/2017,9090.90909090909
75101_4461_00009,,9,,False,4461,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3467224,48.8595635,652069.85,6862368.09,entr��e,2018-10-30,rue,halles,"1100000,00",187.0,14/03/2017,5882.35294117647
75101_2636_00007,,7,,False,2636,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3460802000000003,48.8598261,652022.98,6862397.68,entr��e,2018-10-30,rue,d��chargeurs,"218030,00",10.0,17/08/2017,21803.0
75101_2636_00009,,9,,False,2636,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3461317000000004,48.8598907,652026.81,6862404.83,entr��e,2018-10-30,rue,d��chargeurs,"400000,00",25.0,06/02/2017,16000.0
75101_4461_00019,,19,,False,4461,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3459594,48.8604199,652014.66,6862463.77,entr��e,2018-10-30,rue,halles,"845790,00",76.0,10/10/2017,11128.815789473685
75101_1193_00036,,36,,False,1193,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3455537,48.8603846,651984.86,6862460.1,entr��e,2018-10-30,rue,bourdonnais,"683000,00",65.0,29/09/2017,10507.692307692309
75101_1193_00034,,34,,False,1193,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.345361,48.8601991,651970.55,6862439.59,entr��e,2018-10-30,rue,bourdonnais,"821500,00",58.0,19/12/2017,14163.793103448275
75101_7619_00016,,16,,False,7619,75001.0,PARIS,habitation,75101,Paris 1er Arrondissement,Etalab/DGFiP,2.3444416,48.8602731,651903.17,6862448.37,entr��e,2018-10-30,rue,pont neuf,"1210000,00",104.0,02/02/2017,11634.615384615385
