Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
2958;12 RUE DE JESSAINT 1 RUE STEPHENSON;75018;Paris;2016;PARIS HAB;14;4;6;0;4;acquisition réhabilitation;;18;logement familial;652821.808;6865190.926;"{""type"": ""Point"", ""coordinates"": [2.35665749704461, 48.88500419371556]}";48.8850041937, 2.35665749704
2962;25, RUE PRADIER 63 RUE FESSARD;75019;Paris;2016;PARIS HAB;1;0;0;0;1;acquisition conventionnement;;19;logement familial;654703.329;6864212.154;"{""type"": ""Point"", ""coordinates"": [2.38241806105747, 48.876337462335485]}";48.8763374623, 2.38241806106
2966;2 BIS,  RUE DE L'OURCQ LOT C2;75019;Paris;2016;REHABAIL;15;15;0;0;0;construction neuve;;19;centre d'hébergement et de réinsertion sociale;654883.247;6865441.09;"{""type"": ""Point"", ""coordinates"": [2.384740439039297, 48.887401582079114]}";48.8874015821, 2.38474043904
2971;15, RUE SAINT JUST;75017;Paris;2016;RSF;250;250;0;0;0;construction neuve;;17;résidence sociale pour démuni;649621.564;6866530.334;"{""type"": ""Point"", ""coordinates"": [2.312860762225569, 48.896806509945165]}";48.8968065099, 2.31286076223
2978;45, RUE DE MIROMESNIL;75008;Paris;2016;RIVP;11;7;4;0;0;acquisition réhabilitation;;8;logement familial;649814.777;6864013.85;"{""type"": ""Point"", ""coordinates"": [2.315793374678762, 48.87419177663469]}";48.8741917766, 2.31579337468
2979;2, CITE CHARLES GODON;75009;Paris;2016;RIVP;13;9;4;0;0;construction neuve;;9;logement familial;651686.197;6864536.576;"{""type"": ""Point"", ""coordinates"": [2.341246957303486, 48.879035620870816]}";48.8790356209, 2.3412469573
2981;2, RUE DE VALENCIENNES;75010;Paris;2016;RIVP;15;9;6;0;0;acquisition réhabilitation;;10;logement familial;652769.834;6864433.294;"{""type"": ""Point"", ""coordinates"": [2.356033042597048, 48.878187221243934]}";48.8781872212, 2.3560330426
2982;45-47 QUAI DE VALMY;75010;Paris;2016;RIVP;61;10;51;0;0;acquisition réhabilitation;;10;logement familial;653493.137;6863500.396;"{""type"": ""Point"", ""coordinates"": [2.365996728108604, 48.86985051850435]}";48.8698505185, 2.36599672811
2988;6-16, RUE MOUSSET ROBERT;75012;Paris;2016;RIVP;24;13;8;0;3;acquisition réhabilitation;;12;logement familial;656318.282;6860498.283;"{""type"": ""Point"", ""coordinates"": [2.40481739419755, 48.84305045304288]}";48.843050453, 2.4048173942
2999;3, RUE GERMAIN PILON;75018;Paris;2016;RIVP;12;12;0;0;0;acquisition conventionnement;;18;logement familial;651322.646;6864988.201;"{""type"": ""Point"", ""coordinates"": [2.336238452697216, 48.88306956781514]}";48.8830695678, 2.3362384527
3000;7 RUE DES ABBESSES 25 RUE HOUDON;75018;Paris;2016;RIVP;20;10;10;0;0;acquisition réhabilitation;;18;logement familial;651520.933;6865080.556;"{""type"": ""Point"", ""coordinates"": [2.338931613094217, 48.88391504520443]}";48.8839150452, 2.33893161309
3003;10, AVENUE DE LA PORTE DE MENILMONTANT;75020;Paris;2016;RIVP;1;1;0;0;0;construction neuve;;20;logement familial;656755.8200000001;6863542.261;"{""type"": ""Point"", ""coordinates"": [2.41046917014012, 48.8704543273146]}";48.8704543273, 2.41046917014
3005;PARIS NORD EST - CHAPELLE INTERNATIONAL- LOT B 69, RUE DE LA CHAPELLE;75018;Paris;2016;SABLIERE;73;22;31;0;20;construction neuve;;18;logement familial;652989.064;6866437.775;"{""type"": ""Point"", ""coordinates"": [2.358800109526916, 48.89622888510705]}";48.8962288851, 2.35880010953
3019;106 BD DIDEROT;75012;Paris;2016;SIEMP;1;1;0;0;0;acquisition réhabilitation;;12;logement familial;654930.346;6860957.639;"{""type"": ""Point"", ""coordinates"": [2.385858228327022, 48.84708587720941]}";48.8470858772, 2.38585822833
3020;26, BD DE REUILLY;75012;Paris;2016;SIEMP;15;9;6;0;0;construction neuve;;12;logement familial;655399.531;6860059.968;"{""type"": ""Point"", ""coordinates"": [2.392345455542407, 48.83904572204486]}";48.839045722, 2.39234545554
3035;1, PLACE OCTAVE CHANUTE 2, RUE DES MONTIBOEUFS;75020;Paris;2016;SIEMP;26;8;14;0;4;acquisition réhabilitation;;20;logement familial;656422.16;6863077.025;"{""type"": ""Point"", ""coordinates"": [2.405968398660089, 48.86624803659776]}";48.8662480366, 2.40596839866
3046;65, RUE JEAN JACQUES ROUSSEAU 45, RUE ETIENNE MARCEL;75001;Paris;2016;TOIT&JOIE;17;12;5;0;0;construction neuve;;1;logement familial;651920.253;6862941.476;"{""type"": ""Point"", ""coordinates"": [2.344618647082908, 48.864708762753594]}";48.8647087628, 2.34461864708
3055;12, RUE D'ANNAM;75020;Paris;2017;ADOMA;22;22;0;0;0;construction neuve;;20;résidence sociale pour démuni;655544.73;6863123.037;"{""type"": ""Point"", ""coordinates"": [2.394003357621506, 48.866601856756795]}";48.8666018568, 2.39400335762
3056;49, RUE DE LA CHAPELLE;75018;Paris;2017;ADOMA;2;2;0;0;0;construction neuve;;18;résidence sociale pour démuni;653012.857;6866209.049;"{""type"": ""Point"", ""coordinates"": [2.359149935375574, 48.894173781144296]}";48.8941737811, 2.35914993538
3061;1, RUE DE CASABLANCA;75015;Paris;2017;BATIGERE;2;0;2;0;0;construction neuve;;15;logement familial;647832.78;6860088.834;"{""type"": ""Point"", ""coordinates"": [2.289254652228305, 48.83873721810112]}";48.8387372181, 2.28925465223
3073;22, RUE GEOFFROY LANGEVIN 35, RUE RAMBUTEAU;75004;Paris;2017;ELOGIE SIEMP;16;8;5;0;3;acquisition réhabilitation;;4;logement familial;652580.188;6862502.852;"{""type"": ""Point"", ""coordinates"": [2.353662841973332, 48.86081320004047]}";48.8608132, 2.35366284197
3082;1 AVENUE PIERRE MASSE 19 BD JOURDAN CIUP NOUVELLE MAISON;75014;Paris;2017;FOND.AM;220;0;0;0;220;construction neuve;;14;résidence pour étudiants;651138.698;6857638.617;"{""type"": ""Point"", ""coordinates"": [2.334574799252682, 48.816961252752606]}";48.8169612528, 2.33457479925
3097;17, BD MORLAND;75004;Paris;2017;IMM 3F;80;28;28;0;24;construction neuve;;4;logement familial;653275.783;6861292.828;"{""type"": ""Point"", ""coordinates"": [2.363276451304511, 48.849982371997704]}";48.849982372, 2.3632764513
3102;67 AVENUE DE FLANDRE;75019;Paris;2017;IMM 3F;18;0;0;0;18;construction neuve;;19;logement familial;654080.931;6865586.686;"{""type"": ""Point"", ""coordinates"": [2.373783922006651, 48.888654160329864]}";48.8886541603, 2.37378392201
3103;70, AVENUE DU GENERAL LECLERC;75014;Paris;2017;IMM 3F;6;4;2;0;0;construction neuve;;14;logement familial;650667.11;6859032.306;"{""type"": ""Point"", ""coordinates"": [2.327991187134823, 48.829458996875125]}";48.8294589969, 2.32799118713
3105;HOPITAL BROUSSAIS;75014;Paris;2017;IMM 3F;38;0;0;0;38;construction neuve;;14;logement familial;649692.787;6858832.42;"{""type"": ""Point"", ""coordinates"": [2.314743323342033, 48.82758609410633]}";48.8275860941, 2.31474332334
3107;249-255 RUE DE CRIMEE;75019;Paris;2017;INLI;66;0;0;0;66;construction neuve;;19;résidence pour étudiants;653976.453;6866256.843;"{""type"": ""Point"", ""coordinates"": [2.37228652450768, 48.89467318076768]}";48.8946731808, 2.37228652451
3108;17, RUE DE PRAGUE;75012;Paris;2017;HENEO;24;24;0;0;0;acquisition réhabilitation;;12;maison relais;654187.023;6861277.153;"{""type"": ""Point"", ""coordinates"": [2.37569533155559, 48.84990684351831]}";48.8499068435, 2.37569533156
3111;26, RUE DE LA TOMBE ISSOIRE;75014;Paris;2017;LOGIS.TR.;27;0;2;0;25;construction neuve;;14;logement familial;651174.96;6859259.736;"{""type"": ""Point"", ""coordinates"": [2.334882656893589, 48.83154296717937]}";48.8315429672, 2.33488265689
3115;104, RUE BALARD;75015;Paris;2017;PARIS HAB;1;1;0;0;0;acquisition réhabilitation;;15;logement familial;647037.638;6859938.722;"{""type"": ""Point"", ""coordinates"": [2.278440632754723, 48.83732240723758]}";48.8373224072, 2.27844063275
3119;156-158 RUE DU FAUBOURG POISSONNIERE;75010;Paris;2017;PARIS HAB;67;35;21;0;11;acquisition réhabilitation;;10;logement familial;652317.665;6864863.877;"{""type"": ""Point"", ""coordinates"": [2.349819812460311, 48.88202600958784]}";48.8820260096, 2.34981981246
3125;19-21, RUE DE LA VICTOIRE;75009;Paris;2017;PARIS HAB;16;5;6;0;5;acquisition conventionnement;;9;logement familial;651524.151;6864094.129;"{""type"": ""Point"", ""coordinates"": [2.339088074435545, 48.87504463759115]}";48.8750446376, 2.33908807444
3127;VAN LOO;75016;Paris;2017;PARIS HAB;25;14;11;0;0;construction neuve;;16;logement familial;646282.329;6860339.595;"{""type"": ""Point"", ""coordinates"": [2.268100265116816, 48.84086492976439]}";48.8408649298, 2.26810026512
3130;27, RUE DU CAIRE;75002;Paris;2017;PARIS HAB;8;3;3;0;2;acquisition réhabilitation;;2;logement familial;652352.959;6863253.577;"{""type"": ""Point"", ""coordinates"": [2.350481658665975, 48.86754758563264]}";48.8675475856, 2.35048165867
3143;92, BD DE LA CHAPELLE;75018;Paris;2017;PARIS HAB;12;0;8;0;4;construction neuve;;18;logement familial;652569.165;6865104.142;"{""type"": ""Point"", ""coordinates"": [2.353222193212541, 48.88420521255847]}";48.8842052126, 2.35322219321
3144;119, BD BESSIERES;75017;Paris;2017;PIER.LUM;16;5;11;0;0;construction neuve;;17;logement familial;649774.434;6866288.299;"{""type"": ""Point"", ""coordinates"": [2.314974374289331, 48.894641942580435]}";48.8946419426, 2.31497437429
3148;9-11, RUE CHARRIERE;75011;Paris;2017;RES.L.F.;9;2;5;0;2;construction neuve;;11;logement familial;654647.696;6861633.987;"{""type"": ""Point"", ""coordinates"": [2.381934716863238, 48.853148433178745]}";48.8531484332, 2.38193471686
3153;12-16, RUE HAXO;75020;Paris;2017;RIVP;18;5;8;0;5;construction neuve;;20;logement familial;656362.698;6863527.08;"{""type"": ""Point"", ""coordinates"": [2.405111654164688, 48.87029129221048]}";48.8702912922, 2.40511165416
3156;164, AVENUE LEDRU ROLLIN;75011;Paris;2017;RIVP;1;1;0;0;0;acquisition réhabilitation;;11;logement familial;654464.372;6862020.846;"{""type"": ""Point"", ""coordinates"": [2.37939502798358, 48.85661450430442]}";48.8566145043, 2.37939502798
3157;17, BOULEVARD JOURDAN (MAISON DE L'IRAN);75014;Paris;2017;RIVP;109;0;109;0;0;acquisition réhabilitation;;14;résidence pour étudiants;651439.047;6857986.131;"{""type"": ""Point"", ""coordinates"": [2.338625317648249, 48.82010920861078]}";48.8201092086, 2.33862531765
3164;25, RUE JASMIN 11-13, RUE HENRI HEINE;75016;Paris;2017;RIVP;34;17;17;0;0;construction neuve;;16;logement familial;646143.916;6861540.822;"{""type"": ""Point"", ""coordinates"": [2.266062385856943, 48.851655896517734]}";48.8516558965, 2.26606238586
5;34/36 RUE LEON FROT, 137 RUE DE CHARONNE, 4 RUE E. LEPEU;75011;Paris;2001;ELOGIE;5;0;5;0;0;acquisition réhabilitation;;11;logement familial;655030.9634;6861861.326;"{""type"": ""Point"", ""coordinates"": [2.387133662721622, 48.85521974825579]}";48.8552197483, 2.38713366272
3168;4-12 RUE HENRI TUROT 86-92 BD DE LA VILLETTE;75019;Paris;2017;RIVP;1;0;0;0;1;acquisition réhabilitation;;19;logement familial;653984.078;6864244.89;"{""type"": ""Point"", ""coordinates"": [2.372608543053344, 48.87658085874723]}";48.8765808587, 2.37260854305
3177;66-68 BD SOULT;75012;Paris;2017;RIVP;1;0;1;0;0;acquisition réhabilitation;;12;logement familial;656713.769;6860495.535;"{""type"": ""Point"", ""coordinates"": [2.410206156716184, 48.843052427552124]}";48.8430524276, 2.41020615672
3181;9-11 AVENUE LAMORICIERE;75012;Paris;2017;RIVP;1;0;0;0;1;acquisition réhabilitation;;12;logement familial;656873.778;6860768.8100000005;"{""type"": ""Point"", ""coordinates"": [2.412358558890161, 48.84552073431517]}";48.8455207343, 2.41235855889
3189;198 RUE D'AUBERVILLIERS TRIANGLE EOLE EVANGILE;75019;Paris;2017;SABLIERE;159;80;79;0;0;construction neuve;;19;foyer pour jeunes travailleurs ou résidence pour jeunes;653894.18;6866437.442;"{""type"": ""Point"", ""coordinates"": [2.371144837154104, 48.89629134973936]}";48.8962913497, 2.37114483715
3200;4 A 8 RUE CHAUVELOT;75015;Paris;2017;SOGEMAC;8;4;2;0;2;construction neuve;;15;logement familial;648756.764;6859044.814;"{""type"": ""Point"", ""coordinates"": [2.30196842590972, 48.82942243843456]}";48.8294224384, 2.30196842591
3204;9, AVENUE TRUDAINE;75009;Paris;2017;VILOGIA;20;8;6;0;6;construction neuve;;9;logement familial;651769.295;6864751.331;"{""type"": ""Point"", ""coordinates"": [2.342355549542792, 48.88097307863517]}";48.8809730786, 2.34235554954
3208;80, RUE SAINT DENIS;75001;Paris;2017;AXIMO;1;0;1;0;0;acquisition conventionnement;;1;logement familial;652267.462;6862638.797;"{""type"": ""Point"", ""coordinates"": [2.34938527802954, 48.86201263886935]}";48.8620126389, 2.34938527803
3209;85-87, RUE SAINT DENIS;75001;Paris;2017;AXIMO;1;1;0;0;0;acquisition conventionnement;;1;logement familial;652251.386;6862630.618;"{""type"": ""Point"", ""coordinates"": [2.349167084117213, 48.86193789485568]}";48.8619378949, 2.34916708412
3211;9, RUE DE LA PERLE;75003;Paris;2017;AXIMO;1;0;1;0;0;acquisition conventionnement;;3;logement familial;653127.779;6862365.719;"{""type"": ""Point"", ""coordinates"": [2.361141361046779, 48.859620055070486]}";48.8596200551, 2.36114136105
3212;1, RUE DU PONT LOUIS PHILIPPE;75004;Paris;2017;AXIMO;1;0;1;0;0;acquisition conventionnement;;4;logement familial;652687.263;6861829.063;"{""type"": ""Point"", ""coordinates"": [2.355197213657461, 48.85476175635368]}";48.8547617564, 2.35519721366
3224;26 RUE JACOB;75006;Paris;2017;AXIMO;1;0;1;0;0;acquisition conventionnement;;6;logement familial;651197.985;6861894.791;"{""type"": ""Point"", ""coordinates"": [2.334893952566921, 48.855241752132706]}";48.8552417521, 2.33489395257
3227;33 RUE BONAPARTE;75006;Paris;2017;AXIMO;1;1;0;0;0;acquisition conventionnement;;6;logement familial;651118.379;6861847.673;"{""type"": ""Point"", ""coordinates"": [2.33381449850056, 48.85481198954969]}";48.8548119895, 2.3338144985
3231;6 RUE DE SEINE;75006;Paris;2017;AXIMO;3;1;2;0;0;acquisition conventionnement;;6;logement familial;651311.417;6862111.812;"{""type"": ""Point"", ""coordinates"": [2.336414950420134, 48.85720198153205]}";48.8572019815, 2.33641495042
3241;83, RUE MARCADET 46-48, RUE RAMEY;75018;Paris;2017;HSF;15;3;9;0;3;acquisition conventionnement;;18;logement familial;652059.676;6865802.062;"{""type"": ""Point"", ""coordinates"": [2.346196201202329, 48.89044363272617]}";48.8904436327, 2.3461962012
3252;202, RUE DE LA CONVENTION;75015;Paris;2017;PARIS HAB;1;1;0;0;0;acquisition conventionnement;;15;logement familial;648385.881;6859890.92;"{""type"": ""Point"", ""coordinates"": [2.296813914802649, 48.837001912214824]}";48.8370019122, 2.2968139148
3258;1 A 7, SQUARE GOT;75020;Paris;2017;PARIS HAB;501;201;201;0;99;acquisition conventionnement;;20;logement familial;656362.71;6861067.202;"{""type"": ""Point"", ""coordinates"": [2.405364347853856, 48.848169776101095]}";48.8481697761, 2.40536434785
15;13 RUE DE MIROMESNIL;75008;Paris;2001;IMM 3F;18;18;0;0;0;acquisition réhabilitation;;8;logement familial;649823.9187;6863777.294;"{""type"": ""Point"", ""coordinates"": [2.315945941546651, 48.87206520295883]}";48.872065203, 2.31594594155
17;47 RUE DU JAVELOT;75013;Paris;2001;PARIS HAB;2;0;2;0;0;construction neuve;;13;logement familial;653399.0686;6858485.473;"{""type"": ""Point"", ""coordinates"": [2.365263942165759, 48.82474455074687]}";48.8247445507, 2.36526394217
33;ZAC PRG LOT M7- 42-56, RUE DU CHEVALERET -  44-48 RUE THOMAS MANN;75013;Paris;2001;SABLIERE;78;0;78;0;0;construction neuve;;13;logement familial;654231.1184;6858916.073;"{""type"": ""Point"", ""coordinates"": [2.376550238595734, 48.8286766236669]}";48.8286766237, 2.3765502386
35;25 RUE DES ANNELETS;75019;Paris;2001;RIVP;18;10;8;0;0;acquisition réhabilitation;;19;logement familial;655224.4373;6864432.942;"{""type"": ""Point"", ""coordinates"": [2.38949937539934, 48.8783594001037]}";48.8783594001, 2.3894993754
38;4 RUE MONT  LOUIS  2, IMPASSE DE MONT-LOUIS;75011;Paris;2001;SIEMP;9;0;9;0;0;acquisition réhabilitation;;11;logement familial;655096.1707;6862177.232;"{""type"": ""Point"", ""coordinates"": [2.387988944489281, 48.858065219678565]}";48.8580652197, 2.38798894449
43;29 RUE BERGERE;75009;Paris;2001;IMM 3F;18;18;0;0;0;acquisition réhabilitation;;9;logement familial;651894.4915;6863805.788;"{""type"": ""Point"", ""coordinates"": [2.344169654283658, 48.87247942565191]}";48.8724794257, 2.34416965428
45;137, RUE DE VAUGIRARD;75015;Paris;2001;RIVP;20;10;10;0;0;acquisition réhabilitation;;15;logement familial;649893.1099;6860685.489;"{""type"": ""Point"", ""coordinates"": [2.3172536293683, 48.84426642053898]}";48.8442664205, 2.31725362937
48;31 QUAI DE VALMY;75010;Paris;2001;SAGI;28;0;22;0;6;acquisition conventionnement;;10;logement familial;653550.0462;6863383.651;"{""type"": ""Point"", ""coordinates"": [2.366785270055209, 48.86880475883203]}";48.8688047588, 2.36678527006
51;73 RUE DE WATTIGNIES;75012;Paris;2001;RIVP;24;0;0;0;24;acquisition conventionnement;;12;logement familial;655922.3961;6859612.789;"{""type"": ""Point"", ""coordinates"": [2.399515232509635, 48.83506016773402]}";48.8350601677, 2.39951523251
57;IMPASSE ROBERT - LOT 3 - 6, IMP GROSSE BOUTEILLE;75018;Paris;2001;SIEMP;16;0;16;0;0;construction neuve;;18;logement familial;651578.8548;6866319.921;"{""type"": ""Point"", ""coordinates"": [2.339580062183594, 48.895064550081564]}";48.8950645501, 2.33958006218
65;2 PASSAGE HENNEL 136 A 142 RUE DE CHARENTON;75012;Paris;2001;SAGI;7;0;7;0;0;construction neuve;;12;logement familial;654519.3031;6860782.645;"{""type"": ""Point"", ""coordinates"": [2.380276094432438, 48.84548327160247]}";48.8454832716, 2.38027609443
66;15 RUE BISSON;75020;Paris;2001;RIVP;40;40;0;0;0;acquisition réhabilitation;Résidence social issue du plan de traitement des foyers de travailleurs migrants;20;foyer de travailleurs migrants;654534.3286;6863562.79;"{""type"": ""Point"", ""coordinates"": [2.3801834719314803, 48.87048595577536]}";48.8704859558, 2.38018347193
73;217-223, RUE DES  PYRENEES 30-38, RUE RAMUS;75020;Paris;2001;PARIS HAB;4;0;4;0;0;construction neuve;;20;logement familial;655957.5438;6862717.676;"{""type"": ""Point"", ""coordinates"": [2.399672463611233, 48.86298485178821]}";48.8629848518, 2.39967246361
89;22, ALLEE ANNE DE BEAUJEU - PASSAGE DES FOURS A CHAUX;75019;Paris;2002;SOCALOG;40;0;0;0;40;acquisition conventionnement;;19;logement familial;654048.6562;6864538.322;"{""type"": ""Point"", ""coordinates"": [2.373457236019989, 48.87922423123695]}";48.8792242312, 2.37345723602
91;54-56-58, RUE MONTMARTRE;75002;Paris;2002;ELOGIE;30;0;30;0;0;acquisition réhabilitation;;2;logement familial;651945.8185;6863016.652;"{""type"": ""Point"", ""coordinates"": [2.344958617190785, 48.86538671555957]}";48.8653867156, 2.34495861719
94;17 RUE CACHEUX;75013;Paris;2002;SAGECO;34;0;34;0;0;acquisition conventionnement;;13;logement familial;651989.6911;6858014.845;"{""type"": ""Point"", ""coordinates"": [2.346121218040457, 48.82040868236812]}";48.8204086824, 2.34612121804
1452;97, AVENUE PHILIPPE AUGUSTE;75011;Paris;2009;SIEMP;4;0;4;0;0;acquisition réhabilitation;;11;logement familial;655314.3362;6861935.817;"{""type"": ""Point"", ""coordinates"": [2.390987662139687, 48.85590935921102]}";48.8559093592, 2.39098766214
1456;48, RUE LEON;75018;Paris;2009;TOIT&JOIE;22;4;14;0;4;acquisition conventionnement;;18;logement familial;652589.5127;6865753.047;"{""type"": ""Point"", ""coordinates"": [2.353427192720845, 48.89004209245982]}";48.8900420925, 2.35342719272
1459;4, RUE HIPPOLYTE LEBAS - 5, RUE CHORON;75009;Paris;2009;RES.L.F.;4;0;0;0;4;construction neuve;;9;logement familial;651702.8447;6864352.736;"{""type"": ""Point"", ""coordinates"": [2.341494839755365, 48.877383647882695]}";48.8773836479, 2.34149483976
1460;18-20 RUE DE LA FORGE ROYALE;75011;Paris;2009;SIEMP;3;0;3;0;0;acquisition réhabilitation;;11;logement familial;654554.4019;6861471.744;"{""type"": ""Point"", ""coordinates"": [2.380680690028189, 48.8516828134058]}";48.8516828134, 2.38068069003
1463;4 AVENUE DE LA SŒUR ROSALIE;75013;Paris;2009;PARIS HAB;30;0;18;0;12;acquisition conventionnement;;13;logement familial;652588.2256;6859295.713;"{""type"": ""Point"", ""coordinates"": [2.354129936365315, 48.831972021279014]}";48.8319720213, 2.35412993637
1471;25 BIS RUE DES CHAUFOURNIERS ET 24 AV MATHURIN MOREAU;75019;Paris;2009;PARIS HAB;13;0;0;0;13;acquisition réhabilitation;;19;logement familial;654053.3418;6864427.723;"{""type"": ""Point"", ""coordinates"": [2.373533084985729, 48.878229976841766]}";48.8782299768, 2.37353308499
1482;ZAC CARDINET CHALABRE LOT E4 (EX 2-7-2) 157 RUE CARDINET;75017;Paris;2009;RIVP;150;0;150;0;0;construction neuve;;17;résidence pour étudiants;649989.0026;6865909.409;"{""type"": ""Point"", ""coordinates"": [2.317945361572653, 48.89125144890722]}";48.8912514489, 2.31794536157
1484;12, RUE EMILE CHAINE;75018;Paris;2009;SIEMP;1;0;1;0;0;acquisition réhabilitation;;18;logement familial;652462.8735;6866079.416;"{""type"": ""Point"", ""coordinates"": [2.351663650840964, 48.892967667625676]}";48.8929676676, 2.35166365084
1485;53 RUE DE VOUILLE;75015;Paris;2009;RIVP;5;2;3;0;0;construction neuve;;15;logement familial;649270.2689;6859521.373;"{""type"": ""Point"", ""coordinates"": [2.308906178068427, 48.83374878479227]}";48.8337487848, 2.30890617807
1496;112, BD DE LA CHAPELLE;75018;Paris;2009;SIEMP;1;0;1;0;0;acquisition réhabilitation;;18;logement familial;652396.9181;6865086.825;"{""type"": ""Point"", ""coordinates"": [2.350875441554607, 48.884036775505606]}";48.8840367755, 2.35087544155
1500;6 RUE DE THIONVILLE;75019;Paris;2009;SIEMP;2;0;2;0;0;acquisition réhabilitation;;19;logement familial;654603.5016;6865504.173;"{""type"": ""Point"", ""coordinates"": [2.380918947466637, 48.88794920459486]}";48.8879492046, 2.38091894747
1509;6, RUE DES PANOYAUX;75020;Paris;2009;SIEMP;18;0;0;0;18;acquisition réhabilitation;;20;logement familial;654869.1215;6863092.278;"{""type"": ""Point"", ""coordinates"": [2.384797366584902, 48.866278262723064]}";48.8662782627, 2.38479736658
1513;194 RUE DES PYRENEES;75020;Paris;2009;COALLIA;37;37;0;0;0;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;20;site de desserrement de foyer de travailleur migrant;655949.0932;6862799.511;"{""type"": ""Point"", ""coordinates"": [2.3995487987151343, 48.863720207454314]}";48.8637202075, 2.39954879872
1538;76-86 RUE DE LA GLACIERE - ILOT 13;75013;Paris;2009;SAGECO;46;0;46;0;0;acquisition conventionnement;;13;logement familial;651817.8902;6859100.743;"{""type"": ""Point"", ""coordinates"": [2.3436585467028532, 48.83016150923406]}";48.8301615092, 2.3436585467
1546;77 RUE RIQUET;75018;Paris;2009;SIEMP;4;0;4;0;0;acquisition réhabilitation;;18;logement familial;653158.8027;6865745.951;"{""type"": ""Point"", ""coordinates"": [2.361191474705377, 48.89001994955091]}";48.8900199496, 2.36119147471
1547;13-19 RUE CAPRON;75018;Paris;2009;SIEMP;1;0;1;0;0;acquisition réhabilitation;;18;logement familial;650743.1836;6865266.355;"{""type"": ""Point"", ""coordinates"": [2.328305052777662, 48.88552684681466]}";48.8855268468, 2.32830505278
1548;89 BD MACDONALD;75019;Paris;2009;SIEMP;13;0;4;0;9;acquisition réhabilitation;;19;logement familial;654961.8604;6866639.151;"{""type"": ""Point"", ""coordinates"": [2.385685346387829, 48.89818081933444]}";48.8981808193, 2.38568534639
1553;38, RUE VIGNON;75009;Paris;2009;TOIT&JOIE;14;5;6;0;3;acquisition réhabilitation;;9;logement familial;650609.9615;6863816.181;"{""type"": ""Point"", ""coordinates"": [2.326657074238743, 48.872475662305035]}";48.8724756623, 2.32665707424
1564;3-5-7 CITE DE GENES SECTEUR BISSON;75020;Paris;2010;EFIDIS;49;0;0;0;49;acquisition conventionnement;;20;logement familial;654752.1055;6863570.934;"{""type"": ""Point"", ""coordinates"": [2.383151354754764, 48.87057452951227]}";48.8705745295, 2.38315135475
1566;BEAUJON RIVE NORD, 208-210 RUE DU FAUBOURG SAINT HONORE  LOT 2;75008;Paris;2010;ELOGIE;17;4;10;0;3;construction neuve;;8;logement familial;648972.569;6864166.579;"{""type"": ""Point"", ""coordinates"": [2.304293268611317, 48.87549904603916]}";48.875499046, 2.30429326861
1570;13, RUE ERNEST LACOSTE;75012;Paris;2010;ELOGIE;14;2;8;0;4;acquisition réhabilitation;;12;logement familial;656268.9969;6859600.75;"{""type"": ""Point"", ""coordinates"": [2.404238155157445, 48.83497551072521]}";48.8349755107, 2.40423815516
1576;28, QUAI DES CELESTINS;75004;Paris;2010;ELOGIE;15;3;9;0;3;construction neuve;;4;logement familial;653037.5507;6861589.457;"{""type"": ""Point"", ""coordinates"": [2.359997374824498, 48.85263262365447]}";48.8526326237, 2.35999737482
1579;26, RUE CAUCHY 15-31, RUE DE LA MONTAGNE DE L'ESPEROU;75015;Paris;2010;PARIS HAB;2;0;2;0;0;acquisition conventionnement;;15;logement familial;646927.1563;6860528.603;"{""type"": ""Point"", ""coordinates"": [2.27686191726907, 48.84261809828539]}";48.8426180983, 2.27686191727
1580;110 RUE DES POISSONNIERS;75018;Paris;2010;F.ST.MARIE;20;0;0;0;20;construction neuve;;18;établissement d'hébergement pour personnes âgées dépendantes;652552.8842;6866189.664;"{""type"": ""Point"", ""coordinates"": [2.352878886778338, 48.893965724351226]}";48.8939657244, 2.35287888678
1585;149-153, RUE RAYMOND LOSSERAND;75014;Paris;2010;PARIS HAB;1;0;1;0;0;acquisition conventionnement;;14;logement familial;649533.6113;6859207.329;"{""type"": ""Point"", ""coordinates"": [2.312530770397395, 48.83094524120074]}";48.8309452412, 2.3125307704
1586;7-11, RUE NICOLAS HOUEL;75005;Paris;2010;PARIS HAB;2;0;2;0;0;acquisition conventionnement;;5;logement familial;653149.1762;6860387.849;"{""type"": ""Point"", ""coordinates"": [2.361650916736123, 48.84183470078892]}";48.8418347008, 2.36165091674
1595;51-53, RUE DE LOURMEL 99-101, AVENUE EMILE ZOLA;75015;Paris;2010;PARIS HAB;2;1;1;0;0;acquisition conventionnement;;15;logement familial;647900.1825;6860990.423;"{""type"": ""Point"", ""coordinates"": [2.290062482605037, 48.84685062192381]}";48.8468506219, 2.29006248261
1605;51 RUE MARX DORMOY;75018;Paris;2010;RES.L.F.;3;3;0;0;0;construction neuve;;18;foyer pour jeunes travailleurs ou résidence pour jeunes;653045.6509;6865540.356;"{""type"": ""Point"", ""coordinates"": [2.359671143083722, 48.888162863942696]}";48.8881628639, 2.35967114308
