Identifiant livraison;Adresse du programme;Code postal;Ville;Année du financement - agrément;Bailleur social;Nombre total de logements financés;Dont nombre de logements PLA I;Dont nombre de logements PLUS;Dont nombre de logements PLUS CD;Dont nombre de logements PLS;Mode de réalisation;Commentaires;Arrondissement;Nature de programme;COORD_X_L93;COORD_Y_L93;geo_shape;geo_point_2d
595;22-24 RUE BALARD 2 RUE DES CEVENNES;75015;Paris;2005;RIVP;156;156;0;0;0;acquisition réhabilitation;;15;foyer pour jeunes travailleurs ou résidence pour jeunes;646952.5152;6860646.474;"{""type"": ""Point"", ""coordinates"": [2.277192721858951, 48.84368019327696]}";48.8436801933, 2.27719272186
599;44 RUE DE LA FEDERATION;75015;Paris;2005;SEMEA XV;6;6;0;0;0;acquisition réhabilitation;;15;logement familial;648173.876;6861766.677;"{""type"": ""Point"", ""coordinates"": [2.293697152218639, 48.85385346796219]}";48.853853468, 2.29369715222
600;2-8, RUE HITTORF;75010;Paris;2005;SIEMP;7;0;7;0;0;construction neuve;;10;logement familial;652932.454;6863730.467;"{""type"": ""Point"", ""coordinates"": [2.35832808310882, 48.871878771256256]}";48.8718787713, 2.35832808311
630;VIGNOLES EST LOT B - 7, PASSAGE DIEU  2-4 IMP SAINT PAUL;75020;Paris;2006;ELOGIE;13;2;6;0;5;construction neuve;;20;logement familial;656244.9539;6861946.597;"{""type"": ""Point"", ""coordinates"": [2.403669275321167, 48.856070179862755]}";48.8560701799, 2.40366927532
692;55, RUE MYRHA;75018;Paris;2006;BATIGERE;19;0;19;0;0;construction neuve;;18;résidence pour étudiants;652468.9499;6865395.846;"{""type"": ""Point"", ""coordinates"": [2.351823047059466, 48.88682102091042]}";48.8868210209, 2.35182304706
705;58, RUE RIQUET;75019;Paris;2006;SAGECO;132;0;0;0;132;acquisition réhabilitation;;19;logement familial;653738.3735;6865705.137;"{""type"": ""Point"", ""coordinates"": [2.369099624888269, 48.88969482777264]}";48.8896948278, 2.36909962489
718;8 COUR SAINT PIERRE;75017;Paris;2006;AXIMO;29;29;0;0;0;acquisition réhabilitation;;17;maison relais;650507.072;6865420.491;"{""type"": ""Point"", ""coordinates"": [2.325067486955177, 48.88689483097524]}";48.886894831, 2.32506748696
719;3 IMPASSE ROLLEBOISE;75020;Paris;2006;SIEMP;2;2;0;0;0;construction neuve;;20;logement familial;655907.5006;6861635.708;"{""type"": ""Point"", ""coordinates"": [2.399102596628648, 48.853251359028484]}";48.853251359, 2.39910259663
723;21, RUE GALANDE ET 2 RUE DES ANGLAIS;75005;Paris;2006;PARIS HAB;29;5;24;0;0;acquisition conventionnement;;5;logement familial;652150.4654;6861422.568;"{""type"": ""Point"", ""coordinates"": [2.347927532973003, 48.85106652972799]}";48.8510665297, 2.34792753297
726;226, RUE DE VAUGIRARD - 22 RUELLE DU SOLEIL D'OR;75015;Paris;2006;PARIS HAB;21;0;21;0;0;acquisition réhabilitation;;15;logement familial;648984.0698;6860298.032;"{""type"": ""Point"", ""coordinates"": [2.304914338703337, 48.840710701935116]}";48.8407107019, 2.3049143387
